"","gene","cell"
"1","TMSB4X","Naive CD4 T"
"2","RPL37A","Naive CD4 T"
"3","MT-ND4L","Naive CD4 T"
"4","HLA-B","Naive CD4 T"
"5","LTB","Naive CD4 T"
"6","HLA-C","Naive CD4 T"
"7","MT-ND3","Naive CD4 T"
"8","COX7C","Naive CD4 T"
"9","RPL38","Naive CD4 T"
"10","ATP5F1E","Naive CD4 T"
"11","MT-CO1","Naive CD4 T"
"12","B2M","Naive CD4 T"
"13","TPT1","Naive CD4 T"
"14","RPS4Y1","Naive CD4 T"
"15","RPS21","Naive CD4 T"
"16","TOMM7","Naive CD4 T"
"17","RPL31","Naive CD4 T"
"18","MT-ATP8","Naive CD4 T"
"19","RPS27","Naive CD4 T"
"20","ARHGDIB","Naive CD4 T"
"21","UQCRB","Naive CD4 T"
"22","RPS29","Naive CD4 T"
"23","SARAF","Naive CD4 T"
"24","RPS28","Naive CD4 T"
"25","RPL36AL","Naive CD4 T"
"26","RPS24","Naive CD4 T"
"27","BTG1","Naive CD4 T"
"28","SERF2","Naive CD4 T"
"29","CD52","Naive CD4 T"
"30","RPL37","Naive CD4 T"
"31","COMMD6","Naive CD4 T"
"32","SRGN","Naive CD4 T"
"33","RPL27A","Naive CD4 T"
"34","RPL22","Naive CD4 T"
"35","FTH1","Naive CD4 T"
"36","CD74","Naive CD4 T"
"37","HLA-A","Naive CD4 T"
"38","HINT1","Naive CD4 T"
"39","CALM1","Naive CD4 T"
"40","PDCD4","Naive CD4 T"
"41","CALM2","Naive CD4 T"
"42","S1PR1","Naive CD4 T"
"43","CALR","Naive CD4 T"
"44","FYB1","Naive CD4 T"
"45","PTMA","Naive CD4 T"
"46","SELL","Naive CD4 T"
"47","STK17A","Naive CD4 T"
"48","COX4I1","Naive CD4 T"
"49","RPS25","Naive CD4 T"
"50","LEPROTL1","Naive CD4 T"
"51","ATP1B3","Naive CD4 T"
"52","RPL23","Naive CD4 T"
"53","PNRC1","Naive CD4 T"
"54","ITM2B","Naive CD4 T"
"55","RPL27","Naive CD4 T"
"56","ARRDC2","Naive CD4 T"
"57","RPL34","Naive CD4 T"
"58","ABLIM1","Naive CD4 T"
"59","RPL21","Naive CD4 T"
"60","H3F3A","Naive CD4 T"
"61","MT-ND6","Naive CD4 T"
"62","MT-ATP6","Naive CD4 T"
"63","MARCKSL1","Naive CD4 T"
"64","RPS23","Naive CD4 T"
"65","RGCC","Naive CD4 T"
"66","ANXA1","Naive CD4 T"
"67","CTSL","Naive CD4 T"
"68","IL32","Naive CD4 T"
"69","TESPA1","Naive CD4 T"
"70","RELB","Naive CD4 T"
"71","SKIL","Naive CD4 T"
"72","TMA7","Naive CD4 T"
"73","RPS15A","Naive CD4 T"
"74","RPLP2","Naive CD4 T"
"75","UBA52","Naive CD4 T"
"76","LSP1","Naive CD4 T"
"77","RPL36","Naive CD4 T"
"78","HSP90B1","Naive CD4 T"
"79","YBX1","Naive CD4 T"
"80","YPEL5","Naive CD4 T"
"81","IRF1","Naive CD4 T"
"82","TGFB1","Naive CD4 T"
"83","TRMT112","Naive CD4 T"
"84","CCR7","Naive CD4 T"
"85","BACH2","Naive CD4 T"
"86","NFKB2","Naive CD4 T"
"87","HNRNPK","Naive CD4 T"
"88","SUB1","Naive CD4 T"
"89","TAGLN2","Naive CD4 T"
"90","TNFAIP8","Naive CD4 T"
"91","LRRN3","Naive CD4 T"
"92","HNRNPU","Naive CD4 T"
"93","ICAM2","Naive CD4 T"
"94","ABRACL","Naive CD4 T"
"95","HNRNPUL1","Naive CD4 T"
"96","NDUFA1","Naive CD4 T"
"97","EVL","Naive CD4 T"
"98","CLEC2D","Naive CD4 T"
"99","S100A11","Naive CD4 T"
"100","CD6","Naive CD4 T"
"101","ICOS","Naive CD4 T"
"102","TRBC1","Naive CD4 T"
