"","gene","cell.type"
"1","MT-ATP8","Naive CD4 T"
"2","PCBP1","Naive CD4 T"
"3","RPL41","Naive CD4 T"
"4","RPS21","Naive CD4 T"
"5","RPS27","Naive CD4 T"
"6","TMA7","Naive CD4 T"
"7","RPS29","Naive CD4 T"
"8","CMPK1","Naive CD4 T"
"9","RPS10","Naive CD4 T"
"10","RPL38","Naive CD4 T"
"11","RPL36A","Naive CD4 T"
"12","KLF2","Naive CD4 T"
"13","SUN2","Naive CD4 T"
"14","ATP5ME","Naive CD4 T"
"15","GRK6","Naive CD4 T"
"16","SSU72","Naive CD4 T"
"17","RAC1","Naive CD4 T"
"18","TAGAP","Naive CD4 T"
"19","ARPC2","Naive CD4 T"
"20","CISH","Naive CD4 T"
"21","LRRN3","Naive CD4 T"
"22","PTP4A2","Naive CD4 T"
"23","MT-ATP8","Memory CD4 T"
"24","PCBP1","Memory CD4 T"
"25","RPL41","Memory CD4 T"
"26","RPS21","Memory CD4 T"
"27","RPS27","Memory CD4 T"
"28","RPS29","Memory CD4 T"
"29","TMA7","Memory CD4 T"
"30","CMPK1","Memory CD4 T"
"31","KLF2","Memory CD4 T"
"32","RPL38","Memory CD4 T"
"33","RPL36A","Memory CD4 T"
"34","SUN2","Memory CD4 T"
"35","RPS10","Memory CD4 T"
"36","GRK6","Memory CD4 T"
"37","SRM","Memory CD4 T"
"38","ARPC2","Memory CD4 T"
"39","SSU72","Memory CD4 T"
"40","MAP2K2","Memory CD4 T"
"41","RAC1","Memory CD4 T"
"42","ATP5ME","Memory CD4 T"
"43","MDFIC","Memory CD4 T"
"44","TAGAP","Memory CD4 T"
"45","MZT2B","Memory CD4 T"
"46","GIMAP4","Memory CD4 T"
"47","CISH","Memory CD4 T"
"48","YPEL3","Memory CD4 T"
"49","PCBP1","Treg"
"50","MT-ATP8","Treg"
"51","RPL41","Treg"
"52","TMA7","Treg"
"53","RPS27","Treg"
"54","RPS29","Treg"
"55","RPL39","Treg"
"56","RPS21","Treg"
"57","RPS10","Treg"
"58","ARPC2","Treg"
"59","SUN2","Treg"
"60","RPL36A","Treg"
"61","RPL38","Treg"
"62","CMPK1","Treg"
"63","SSU72","Treg"
"64","RAC1","Treg"
"65","KLF2","Treg"
"66","GRK6","Treg"
"67","ATP5ME","Treg"
"68","MAP2K2","Treg"
"69","YPEL3","Treg"
"70","SRSF2","Treg"
"71","MDFIC","Treg"
"72","BIN1","Treg"
"73","FMNL1","Treg"
"74","MZT2B","Treg"
"75","TAGAP","Treg"
"76","COTL1","Treg"
"77","MT-ATP8","Naive CD8 T"
"78","PCBP1","Naive CD8 T"
"79","RPS27","Naive CD8 T"
"80","RPL41","Naive CD8 T"
"81","RPS29","Naive CD8 T"
"82","TMA7","Naive CD8 T"
"83","MT-CO1","Naive CD8 T"
"84","CMPK1","Naive CD8 T"
"85","SUN2","Naive CD8 T"
"86","GRK6","Naive CD8 T"
"87","MT-ND3","Naive CD8 T"
"88","RPL36A","Naive CD8 T"
"89","KLF2","Naive CD8 T"
"90","SSU72","Naive CD8 T"
"91","SRM","Naive CD8 T"
"92","MZT2B","Naive CD8 T"
"93","MAP2K2","Naive CD8 T"
"94","ARPC2","Naive CD8 T"
"95","TXNL4A","Naive CD8 T"
"96","PRKCA","Naive CD8 T"
"97","YPEL3","Naive CD8 T"
"98","LINC02446","Naive CD8 T"
"99","COTL1","Naive CD8 T"
"100","RAC1","Naive CD8 T"
"101","URI1","Naive CD8 T"
"102","ATP5ME","Naive CD8 T"
"103","SRSF9","Naive CD8 T"
"104","CISH","Naive CD8 T"
"105","MT-ATP6","Naive CD8 T"
"106","PCBP1","Memory CD8 T"
"107","MT-ATP8","Memory CD8 T"
"108","RPL41","Memory CD8 T"
"109","TMA7","Memory CD8 T"
"110","RPS27","Memory CD8 T"
"111","RPS29","Memory CD8 T"
"112","RPS21","Memory CD8 T"
"113","SUN2","Memory CD8 T"
"114","KLF2","Memory CD8 T"
"115","CMPK1","Memory CD8 T"
"116","ARPC2","Memory CD8 T"
"117","SSU72","Memory CD8 T"
"118","IFITM2","Memory CD8 T"
"119","RAC1","Memory CD8 T"
"120","RPL36A","Memory CD8 T"
"121","CYBA","Memory CD8 T"
"122","SRM","Memory CD8 T"
"123","RPS10","Memory CD8 T"
"124","GRK6","Memory CD8 T"
"125","ATP5ME","Memory CD8 T"
"126","GNLY","Memory CD8 T"
"127","YPEL3","Memory CD8 T"
"128","SRSF9","Memory CD8 T"
"129","FMNL1","Memory CD8 T"
"130","MZT2B","Memory CD8 T"
"131","SSBP4","Memory CD8 T"
"132","TAF10","Memory CD8 T"
"133","KLRK1","Memory CD8 T"
"134","YWHAH","Memory CD8 T"
"135","TAGAP","Memory CD8 T"
"136","LAMP1","Memory CD8 T"
"137","PRF1","Memory CD8 T"
"138","TBX21","Memory CD8 T"
"139","GZMH","Memory CD8 T"
"140","CX3CR1","Memory CD8 T"
"141","FGFBP2","Memory CD8 T"
"142","PTP4A2","Memory CD8 T"
"143","XBP1","Memory CD8 T"
"144","HLA-DQA1","Memory CD8 T"
"145","KLRD1","Memory CD8 T"
"146","H1FX","Memory CD8 T"
"147","FCGR3A","Memory CD8 T"
"148","EFHD2","Memory CD8 T"
"149","NKG7","Memory CD8 T"
"150","GZMB","Memory CD8 T"
"151","MT-ATP8","Cytotoxic T"
"152","MT-CO1","Cytotoxic T"
"153","MT-CO2","Cytotoxic T"
"154","PCBP1","Cytotoxic T"
"155","RPL41","Cytotoxic T"
"156","TMA7","Cytotoxic T"
"157","RPS29","Cytotoxic T"
"158","RPS27","Cytotoxic T"
"159","MT-ND3","Cytotoxic T"
"160","SUN2","Cytotoxic T"
"161","MT-CO3","Cytotoxic T"
"162","KLF2","Cytotoxic T"
"163","RPS21","Cytotoxic T"
"164","RAC1","Cytotoxic T"
"165","SSU72","Cytotoxic T"
"166","ATP5ME","Cytotoxic T"
"167","CMPK1","Cytotoxic T"
"168","ARPC2","Cytotoxic T"
"169","GNLY","Cytotoxic T"
"170","RPL38","Cytotoxic T"
"171","MT-ND4","Cytotoxic T"
"172","TAGAP","Cytotoxic T"
"173","TRGV4","Cytotoxic T"
"174","RPL36A","Cytotoxic T"
"175","MZT2B","Cytotoxic T"
"176","TRGV9","Cytotoxic T"
"177","RPS10","Cytotoxic T"
"178","YPEL3","Cytotoxic T"
"179","FMNL1","Cytotoxic T"
"180","SSBP4","Cytotoxic T"
"181","GRK6","Cytotoxic T"
"182","MAP2K2","Cytotoxic T"
"183","TRGV10","Cytotoxic T"
"184","SRM","Cytotoxic T"
"185","PCSK1N","Cytotoxic T"
"186","IFI44L","Cytotoxic T"
"187","LINC02384","Cytotoxic T"
"188","TRDV1","Cytotoxic T"
"189","EFHD2","Cytotoxic T"
"190","RNPEPL1","Cytotoxic T"
"191","TRGC2","Cytotoxic T"
"192","FGFBP2","Cytotoxic T"
"193","CD300A","Cytotoxic T"
"194","MT-ATP6","Cytotoxic T"
"195","TRAV29DV5","Cytotoxic T"
"196","LAIR2","Cytotoxic T"
"197","MT-ATP8","gdT"
"198","PCBP1","gdT"
"199","GNLY","gdT"
"200","TMA7","gdT"
"201","GZMB","gdT"
"202","FGFBP2","gdT"
"203","RPL41","gdT"
"204","PRF1","gdT"
"205","HLA-C","gdT"
"206","ZNF683","gdT"
"207","KIR3DL2","gdT"
"208","FCGR3A","gdT"
"209","SUN2","gdT"
"210","PRSS23","gdT"
"211","ARPC2","gdT"
"212","TRDV2","gdT"
"213","TRDC","gdT"
"214","CYBA","gdT"
"215","CX3CR1","gdT"
"216","RPS10","gdT"
"217","ITGB1","gdT"
"218","KIR2DL1","gdT"
"219","KLF2","gdT"
"220","RAC1","gdT"
"221","ATP5ME","gdT"
"222","CD247","gdT"
"223","NKG7","gdT"
"224","TRGV9","gdT"
"225","CD52","gdT"
"226","PFN1","gdT"
"227","LINC02384","gdT"
"228","ALOX5AP","gdT"
"229","S100A4","gdT"
"230","LITAF","gdT"
"231","RAP1B","gdT"
"232","IFITM2","gdT"
"233","LAIR2","gdT"
"234","HOPX","gdT"
"235","PTGDS","gdT"
"236","KLRC4","gdT"
"237","SPON2","gdT"
"238","DSTN","gdT"
"239","KIR2DL3","gdT"
"240","GZMH","gdT"
"241","AKR1C3","gdT"
"242","TBX21","gdT"
"243","ADGRG1","gdT"
"244","LINC01871","gdT"
"245","LAMP1","gdT"
"246","LGALS1","gdT"
"247","SSU72","gdT"
"248","CES1","gdT"
"249","KLRD1","gdT"
"250","TRBC1","gdT"
"251","TAGAP","gdT"
"252","CMPK1","gdT"
"253","SRSF2","gdT"
"254","CD320","gdT"
"255","PTOV1","gdT"
"256","DYNLL1","gdT"
"257","IL2RG","gdT"
"258","ORAI1","gdT"
"259","SLC9A3R1","gdT"
"260","CD2","gdT"
"261","GNB2","gdT"
"262","GIMAP4","gdT"
"263","KLRK1","gdT"
"264","FMNL1","gdT"
"265","CCL4","gdT"
"266","AC004687.1","gdT"
"267","GPR65","gdT"
"268","YPEL3","gdT"
"269","MRPS6","gdT"
"270","SSBP4","gdT"
"271","ABI3","gdT"
"272","S1PR5","gdT"
"273","LPCAT1","gdT"
"274","PLEKHF1","gdT"
"275","TIMP1","gdT"
"276","CD226","gdT"
"277","HLA-DRB1","gdT"
"278","PCBP1","MAIT"
"279","MT-ATP8","MAIT"
"280","RPL41","MAIT"
"281","TMA7","MAIT"
"282","RPS29","MAIT"
"283","RPS27","MAIT"
"284","KLF2","MAIT"
"285","SUN2","MAIT"
"286","CEBPD","MAIT"
"287","IFI44L","MAIT"
"288","ARPC2","MAIT"
"289","SSU72","MAIT"
"290","SRM","MAIT"
"291","CMPK1","MAIT"
"292","ATP5ME","MAIT"
"293","GRK6","MAIT"
"294","CYBA","MAIT"
"295","IFI6","MAIT"
"296","KLRD1","MAIT"
"297","IFITM1","MAIT"
"298","IFITM2","MAIT"
"299","GNB2","MAIT"
"300","PCSK1N","MAIT"
"301","MZT2B","MAIT"
"302","FMNL1","MAIT"
"303","GLRX5","MAIT"
"304","SRSF9","MAIT"
"305","RAC1","MAIT"
"306","MAP2K2","MAIT"
"307","YPEL3","MAIT"
"308","EFHD2","MAIT"
"309","GNLY","MAIT"
"310","SSBP4","MAIT"
"311","XAF1","MAIT"
"312","ISG15","MAIT"
"313","LY6E","MAIT"
"314","CCL4","MAIT"
"315","TRDV2","MAIT"
"316","ARF6","MAIT"
"317","TRGV9","MAIT"
"318","PRF1","MAIT"
"319","CPNE2","MAIT"
"320","LINC01871","MAIT"
"321","TAGAP","MAIT"
"322","IFITM3","MAIT"
"323","KLRF1","MAIT"
"324","PCBP1","Proliferative T"
"325","MT-ATP8","Proliferative T"
"326","TMA7","Proliferative T"
"327","RPL41","Proliferative T"
